№ п/п;Дата платежа ;Назначение платежа;Сумма;
56;29.01.2024;"Предоплата 30% за оборудование в рамках проекта ""QH Аудандык Оңалту орталықтары"" ИП Бисекенов (Бисекенов Айгали Агарысулы) (Синтез-КЗ)"", Договор поставки №РЦ-Р/2023-5-1,
№РЦ-Р/2023-5-3 от 10.01.24г";2 820 000;
57;30.01.2024;"Предоплата 50% Blazebrite Ltd TA Experia за ооборудование в
рамках реализации проекта ""QH Аудандық оңалту орталықтары"", Дог. № 09-02-3-1 от 11.01.2024г.";21 340 560;
58;30.01.2024;"Предоплата 50% ТOO ""ГазАвто Казахстан"" за ооборудование в рамках реализации проекта ""Развитие объектов здравоохранения и социальной поддержки в отдаленном приграничном Тарбагатайском районе"", Дог. № 09-02-3-12 от 23.01.2024г.";12 495 000;
59;30.01.2024;"Предоплата 50% ТОО ""Medicare International"" за изготовление
протеза руки для заявителя ID 45118";4 000 000;
60;30.01.2024;"Предоплата 50% ТОО ""Medicare International"" за изготовление
протеза руки для заявителя ID 43546";4 000 000;
61;30.01.2024;"Предоплата 50% ТОО ""Medicare International"" за изготовление
протеза голени и бедра для заявителя ID 45346";2 750 000;
62;30.01.2024;"Возврат средств от НАО ""КАЗНУ ИМЕНИ АЛЬ-ФАРАБИ""";-20;
63;31.01.2024;"Оплата Akces-Med Sp.z o.o за оборудование в рамках реализации проекта ""QH Аудандық оңалту орталықтары"", Дог. № 09-02-3-7 от
16.01.2024г.";7 342 905;
64;31.01.2024;"Оплата Корпоративному фонду ""Компания по управлению целевым капиталом (эндаументом) ""Endowment Qazaqstan
Halqyna"" за гранты";786 666 750;
65;01.02.2024;"Предоплата 70% ТОО ""ЦЕНТР ТЕХНИЧЕСКОЙ
КОМПЕТЕНЦИИ DEMEU"" за поставку медицинского оборудования, Дог. №09-02-3-13 от 24.01.2024 г.";2 049 166 125;
66;02.02.2024;"Предоплата 50% за оборудование в рамках проекта ""QH Аудандык Оңалту орталықтары"" PROLIMPIC SPÓŁKA Z OGRANICZONĄ,
Договоры поставки №09-02-3-5, 6 от 12.01.24";11 698 340;
67;02.02.2024;"Оплата ТОО ""STEM ACADEMIA"" за оборудование для оснащения опорных школ, Дог. №11-02-6-498,499,500,501,502 от 07.12.23";497 534 638;
68;02.02.2024;"Оплата ТОО Zaman Education за оборудование для оснащения
опорных школ, Дог. №11-02-6-532  от 15.01.2024 г.";124 996 813;
69;02.02.2024;"Предоплата 50% ООО ""БЕКА РУС"" за оборудование в рамках реализации проекта ""QH Аудандык Оңалту орталықтары"", Дог.
№09-02-3-3  от 11.01.2024г.";106 459 996;
70;02.02.2024;"Оплата 100% Rehab and Medical Limited за поставку оборудования,
Договор №09-02-3-2 от 11.01.2024г.";70 549 760;
71;02.02.2024;"Возмещение за услуги международной автоперевозки груза согласно Договора №09-02-3-9 от 05.04.2022 года (КФ
""ҚАМҚОРЛЫҚ ҚОРЫ"")";1 035 073;
72;02.02.2024;"Возмещение таможенных расходов (услуги СВХ) КФ
""ҚАМҚОРЛЫҚ ҚОРЫ"" Договор №9-02-3-9 от 05.04.2022 г.";3 182 152;
73;02.02.2024;"Предоплата 30% ТОО ""ROUND KZ"" за оборудование в рамках
реализации проекта ""QH 76 детских спортивных залов"", Дог. №11- 02-6-13,14,15,16,17,18 от 31.01.2024г.";11 594 100;
74;07.02.2024;"Предоплата 30% за оборудование в рамках проектов ""QH Аудандык Оңалту орталықтары"" и ""QH Оңалту орталықтары"" ТОО Феликс Астана, Договоры поставки №РЦ-Р/2023-1-2, 3 от
12.01.24г,  №РЦ/2023-11-1, 3, 5, 6 от 12.01.24г.";8 976 136;
75;07.02.2024;"Предоплата 30% за оборудование в рамках проектов ""QH Аудандык Оңалту орталықтары"" и ""QH Оңалту орталықтары"" ТОО «ASPASIA LTD», Договоры поставки №РЦ/2023-8-6, 5, 3, 1
от 22.01.24г., №РЦ/2023-6-6, 5, 3, 1 от 22.01.24г., №РЦ-Р/2023-4-3,
2  от 22.01.24г., №РЦ-Р/2023-10-3, 2 от 22.01.24г.";24 477 660;
76;07.02.2024;"Предоплата 30% за оборудование в рамках проектов ""QH Аудандык Оңалту орталықтары"" и ""QH Оңалту орталықтары"" ТОО ""Фармас"", Договоры поставки №РЦ-Р/2023-12-2,3 от
10.01.24г., №РЦ/2023-4-1,3,5,6 от 10.01.24г.";16 662 600;
77;07.02.2024;"Оплата за оборудование в рамках проекта ""QH Шарапат"" ТОО ""ЭВЕРЕСТ GROUP"", Договор поставки №09-02-3-374 от
24.10.2023г.";450 000;
78;07.02.2024;"Окончательная оплата 50% ТОО ""TARLAN INTERNATIONAL"" за оборудование в рамках БП ""QH Развитие детской нейрохирургической службы"", Договоры №09-02-3-
325/22,23,25,34,35,46,47,49,50,51,54,55,56,58,59";171 892 000;
79;07.02.2024;"Окончат оплата 50% ТОО ""Medicare International"" за изготовление
протеза голени и бедра для заявителя ID 43894";4 500 000;
80;07.02.2024;"Предоплата 50% ТОО ""Medicare International"" за изготовление
протеза бедра для заявителя ID 45440";2 750 000;
81;07.02.2024;"Предоплата 50% ТОО ""Medicare International"" за изготовление
протеза руки для заявителя ID 45220";4 000 000;
82;07.02.2024;"Предоплата 50% ТОО ""Medicare International"" за изготовление
протеза руки для заявителя ID 43643";4 000 000;
83;07.02.2024;"Предоплата 50% ТОО ""Medicare International"" за изготовление
протеза голени ID 44929";1 750 000;
84;09.02.2024;"ИПН в рамках оказанной благотворительной помощи ОФ
«Қазақстан халқына» семьям граждан РК пострадавших во время трагических событий, произошедших в январе 2022 года";4 200 000;
85;09.02.2024;"Оплата ТОО ""MEDICAL CONSULTING GROUP"" за лечение
пациентов  с заболеваниями органов глаза (пересадка роговицы), Договор №09-02-3-384 от 20.12.2023 г.";6 739 342;
86;09.02.2024;"Предоплата 50%  в рамках проекта ""QH Шапагат Орал"" ТOO ""ГазАвто Казахстан"", Договор поставки №09-02-3-14 от 24.01.24г";12 495 000;
87;09.02.2024;"Предоплата 50% ТОО ""Medicare International"" за изготовление
протеза руки ID 44975";4 000 000;
88;09.02.2024;"Окончательная оплата 50% ТОО ""Medicare International"" за
изготовление протеза голени ID 44929";1 750 000;
89;09.02.2024;"Предоплата 50% ТОО ""Medicare International"" за изготовление
протеза бедра ID 45475";2 750 000;
90;09.02.2024;"Предоплата 50% ТОО ""Medicare International"" за изготовление
протеза голени ID 45009";1 750 000;
91;09.02.2024;"Возмещение таможенных расходов (услуги СВХ) КФ
""ҚАМҚОРЛЫҚ ҚОРЫ"" Договор №9-02-3-9 от 05.04.2022 г.";126 783;
92;09.02.2024;"Возмещение за услуги международной автоперевозки груза согласно Договора №09-02-3-9 от 05.04.2022 года (КФ
""ҚАМҚОРЛЫҚ ҚОРЫ"")";2 156 409;
93;09.02.2024;"Оплата Akces-Med Sp.z o.o за оборудование в рамках реализации проекта ""QH Аудандық оңалту орталықтары"", Дог. № 09-02-3-7 от
16.01.2024г.";7 558 147;
94;12.02.2024;"Предоплата 30% за оборудование в рамках проектов ""QH Аудандык Оңалту орталықтары"" и ""QH Оңалту орталықтары"" ТОО ""Фармас"", Договоры поставки №РЦ-Р/2023-7-1,4,5 от
12.01.24г.";4 995 621;
95;12.02.2024;"Предоплата 30% за оборудование в рамках проектов ""QH Аудандык Оңалту орталықтары"" ТОО «ASPASIA LTD», Договоры поставки №РЦ-Р/2023-10-1,4,5 от 22.01.24г., Договор №РЦ-Р/2023-
4-1,4,5 от 22.01.24г.";12 238 830;
96;12.02.2024;"Предоплата 30% за оборудование в рамках проектов ""QH Аудандык Оңалту орталықтары"" ТОО ""Фармас"", Договоры
поставки №РЦ-Р/2023-12-1,4,5 от 10.01.24г.";8 331 300;
97;12.02.2024;"Предоплата 30% за оборудование в рамках проектов ""QH Аудандык Оңалту орталықтары"" ТОО ""Медицинский Холдинг""Sintez-KZ"" (Синтез-КЗ)"", Договоры поставки №РЦ-
Р/2023-3-1,4,5 от 11.01.24г.";990 000;
98;12.02.2024;"Предоплата 30% за оборудование в рамках проектов ""QH
Аудандык Оңалту орталықтары"" ИП Фербер В.В., Договоры поставки №РЦ-Р/2023-9-1,4,5 от 10.01.24г.";877 500;
99;12.02.2024;"Предоплата 30% за оборудование в рамках проектов ""QH Аудандык Оңалту орталықтары"" ИП Бисекенов (Бисекенов Айгали Агарысулы), Договоры поставки №РЦ-Р/2023-5-1,4,5 от 10.01.24г.";4 230 000;
100;12.02.2024;"Предоплата 30% за оборудование в рамках проектов ""QH
Аудандык Оңалту орталықтары"" ТОО ""МК Интерна"", Договоры поставки №РЦ-Р/2023-11-1,4,5 от 11.01.24г.";6 453 000;
101;12.02.2024;"Предоплата 30% за оборудование в рамках проектов ""QH Аудандык Оңалту орталықтары"" ТОО Феликс Астана, Договоры
поставки №РЦ-Р/2023-1-1, 4, 5 от 12.01.24г.";3 107 124;
102;12.02.2024;"Оплата UAB ""MIESTO ALEJA"" HOF HOTEL за проживание на время обучения специалистов 3 чел с 11.02.24 по 24.02.2024, Дог.
№09-02-3-16/2024-PR-00009 от 31.01.2024";948 480;
103;12.02.2024;"Предоплата 50% Литовский университет наук и здоровья - расходы, связанные с оказанием образовательных услуг 3 специалистам КГП на ПХВ ""Жамбылский областной специализированный реабилитационный центр"" Управления здравоохранения акимата Жамбылской области, Дог. №09-02-3-
16/2024-PR-00009 от 31.01.2024";1 872 640;
104;14.02.2024;"Окончательная оплата 50% ТОО ""TARLAN INTERNATIONAL"" за оборудование в рамках БП ""QH Развитие детской нейрохирургической службы"", Договор №09-02-3-
325/14,15,16,31,32,37,38 от 01.09.23г.";85 064 000;
105;14.02.2024;"Оплата 100% ООО ""БИЭМ ГРУПП ИНТЕГРАТОР"" за
оборудование в рамках Дог.№09-02-3-380 от 04.12.2024г.";6 413 774;
106;14.02.2024;"Окончательная оплата 50% ИП Sport Time OUTDOOR за оборудование в рамках ""Развитие лыжного спорта в районах Акмолинской области"", Договор №11-02-6-8, 10, 12 от 15.01.24г.";5 355 000;
107;14.02.2024;"Окончательная оплата 50% ИП ASTANA OLIMPIK за оборудование в рамках ""Развитие лыжного спорта в районах Акмолинской области"", Договор №11-02-6-1, 2, 3, 4, 5, 6, 7, 9, 11
от 15.01.24г.";32 470 450;
108;14.02.2024;"Окончательная оплата 50% за приобретение передвижного комплекса Optima в рамках проекта ""QH Денсаулық жолы"", ТОО ""Оптимус Медика"", по договорам: №09-02-3-6/3 от 03.04.2023";545 547 076;
109;20.02.2024;"Возврат средств от ТОО ""Такеда""";-0,24;
110;21.02.2024;"Окончательная оплата 50% ТОО ""ИМПЕКС ЛАЙФ"" в рамках
приобретения 3 дистракторов для 3 детей, Дог. №09-03-142 от 20.10.23г.";11 152 622;
111;21.02.2024;"Предоплата 50% ТОО ""Medicare International"" за изготовление
протеза бедра ID 45532";5 500 000;
112;21.02.2024;"Предоплата 50% ТОО ""Medicare International"" за изготовление
протеза рук ID 44783";4 000 000;
113;21.02.2024;"Оплата за оборудование для оснащения Центров раннего вмешательства ТОО ""METAMED"", Договор поставки №ЦРВ/2022-
21-12 от 30.11.23г.";136 000;
114;21.02.2024;"Оплата за оборудование для оснащения Центров раннего вмешательства ТОО ""METAMED"", Договор поставки №ЦРВ/2022-
21-6 от 30.11.23г.";136 000;
115;21.02.2024;"Оплата ТОО ""ОАД-27"" за лекарственное  средство - Эврисди
(Рисдиплам), Договор №09-02-3-19 от 07.02.2024";275 686 756;
116;21.02.2024;"Оплата ТОО ""ЭКСКЛЮЗИВСТРОЙ"" за строительство под ключ
""модульный спортивный зал ангарного типа"", Дог. №11-02-6-109 от 23.08.23г.";35 945 122;
117;23.02.2024;Возврат средств АСП;-                                         3 000 000;
118;23.02.2024;"Благотворительная помощь ОФ «Қазақстан халқына» семье раненного гражданина РК во время трагических событий,
произошедших в январе 2022 года";3 000 000;
119;23.02.2024;"Окончательная оплата 50% ТОО ""TARLAN INTERNATIONAL"" за оборудование в рамках БП ""QH Развитие детской нейрохирургической службы"", Договор №09-02-3-325/27 от
01.09.23г.";6 860 000;
120;23.02.2024;"Оплата ТОО «ГЛОБАЛ ЭЙР» - «GLOBAL AIR» - расходы,
связанные с оказанием образовательных услуг 3 специалистам в рамках проекта ""QH Дихан ауылындағы оңалту орталығы"" Управления здравоохранения акимата Жамбылской области, Дог.
№09-02-3-16/2024-PR-00009 от 31.01.24г.";1 641 021;
121;23.02.2024;"Окончательная оплата 50% ТОО ""Б.БРАУН МЕДИКАЛ КАЗАХСТАН"" за оборудование в рамках БП ""QH Развитие детской нейрохирургической службы"", Договор №09-02-3-382 от
11.12.23г.";38 013 960;
122;23.02.2024;"Предоплата 50% ТОО ""INKAR"" за лекарственное средство -
Сатрализумаб (Энспринг), Договор №09-02-3-26 от 20.02.2024г";108 283 500;
123;23.02.2024;"Оплата ТОО ""ОАД-27"" за лекарственное  средство - Эврисди
(Рисдиплам), Договор №09-02-3-27 от 20.02.2024";137 843 378;
124;23.02.2024;"Предоплата 50% ТОО ""Medicare International"" за изготовление
протеза бедра ID 45478";2 750 000;
125;27.02.2024;"Предоплата 50% ТОО ""Medicare International"" за изготовление
протеза руки ID 45020";4 000 000;
126;27.02.2024;Возврат средств АСП;-                                         3 000 000;
127;27.02.2024;"Благотворительная помощь ОФ «Қазақстан халқына» семье
раненного гражданина РК во время трагических событий, произошедших в январе 2022 года";3 000 000;
128;27.02.2024;"Предоплата 50% ООО ""ВИТ"" за имитатор опорной нагрузки подошвенный ""Корвит"" в рамках реализации проекта ""QH Аудандык оңалту орталықтары"", Дог. №09-02-3-11 от 19.01.2024г.";9 004 049;
129;29.02.2024;"Предоплата 50% ТOO ""Биком.кз"" за оборудование в рамках
реализации проекта ""QH 76 детских спортивных залов"", Дог. №11- 02-6-19 от 23.02.2024г.";4 940 000;
130;29.02.2024;"Предоплата 50% ООО ""Атлант Медикал"" за поставку Нейро- ортопедических пневмокостюмов, Дог. №09-02-3-25 от 15.02.24 г.";6 643 951;
131;29.02.2024;"Оплата ТОО ""ЭКСКЛЮЗИВСТРОЙ"" за строительство под ключ ""модульный спортивный зал ангарного типа"", Дог. №11-02-6-20 от
23.08.23г.";33 976 180;
132;29.02.2024;"Оплата 20% ТОО ""SK MONOLIT LTD"" в рамках благотворительного проекта ""Установка быстровозводимых модульных спортивных залов ангарного типа в селе Коктал и
Капал Область Жетысу "", Дог. №11-02-6-533 от 26.12.23";32 400 000;
133;29.02.2024;"Оплата 20% ТОО ""SHARBAK"" в рамках благотворительного проекта ""Установка быстровозводимых модульных спортивных залов ангарного типа в селе Коктал и Капал Область Жетысу "",
Дог. №11-02-6-534 от 26.12.23";32 000 000;
134;04.03.2024;"Окончат оплата 50% ТОО ""Medicare International"" за изготовление
протеза руки для заявителя ID 45118";4 000 000;
135;04.03.2024;"Предоплата 50% ТОО ""Medicare International"" за изготовление
протезов рук для заявителя ID 45026";4 000 000;
136;04.03.2024;"Предоплата 50% ТОО ""Medicare International"" за изготовление
протеза голени для заявителя ID 45556";1 750 000;
137;04.03.2024;"Предоплата 30% за оборудование в рамках проекта ""QH Оңалту
орталықтары"" ТОО ""METAMED"", Договор поставки №РЦ/2023-5- 1,3,6 от 23.02.24г.";11 668 500;
138;04.03.2024;"Предоплата 30% за оборудование в рамках проекта ""QH Аудандык
Оңалту орталықтары"" ТОО ""METAMED"", Договор поставки №РЦ- Р/2023-8-1,2,3,4,5 от 23.02.24г.";19 447 500;
