"annotation_id","annotator","created_at","id","label","lead_time","text","updated_at"
13,"1","2025-03-03T15:42:09.819544Z",11,"[{""start"":0,""end"":6,""text"":""Оплата"",""labels"":[""PAYMENT_TYPE""]},{""start"":76,""end"":109,""text"":""Договор №9-02-144 от 27.12.2022г."",""labels"":[""MISC""]},{""start"":7,""end"":24,""text"":""ТОО \""ЭТК СЕРВИС\"" "",""labels"":[""ORG""]},{""start"":24,""end"":65,""text"":""расходы по обучению 3-х\\nмед.специалистов"",""labels"":[""PURPOSE""]},{""start"":66,""end"":74,""text"":""КазНИИОР"",""labels"":[""ORG""]}]",52.958,"Оплата ТОО ""ЭТК СЕРВИС"" расходы по обучению 3-х
 мед.специалистов КазНИИОР, Договор №9-02-144 от 27.12.2022г.","2025-03-03T17:26:46.076367Z"
14,"1","2025-03-03T16:25:43.355191Z",12,"[{""start"":101,""end"":134,""text"":""Договор №РАС-7-\\n12 от 27.12.2022"",""labels"":[""MISC""]},{""start"":0,""end"":6,""text"":""Оплата"",""labels"":[""PAYMENT_TYPE""]},{""start"":7,""end"":65,""text"":""за оборудование для оснащения Центров для детей с аутизмом"",""labels"":[""PURPOSE""]},{""start"":66,""end"":100,""text"":""ТОО \""Royal Engineering Kazakhstan\"""",""labels"":[""ORG""]}]",22.109,"Оплата за оборудование для оснащения Центров для детей с аутизмом ТОО ""Royal Engineering Kazakhstan"" Договор №РАС-7-
 12 от 27.12.2022","2025-03-03T16:25:43.355210Z"
15,"1","2025-03-03T16:26:40.834283Z",13,"[{""start"":49,""end"":84,""text"":""по Договору №09-02-83 от 06.12.22г."",""labels"":[""MISC""]},{""start"":0,""end"":20,""text"":""Окончательная оплата"",""labels"":[""PAYMENT_TYPE""]},{""start"":85,""end"":121,""text"":""за лекарственное средство -\\nЦинрайз"",""labels"":[""PURPOSE""]},{""start"":21,""end"":25,""text"":""80 %"",""labels"":[""MISC""]},{""start"":26,""end"":48,""text"":""ТОО \""ТАКЕДА КАЗАХСТАН\"""",""labels"":[""ORG""]}]",53.85,"Окончательная оплата 80 % ТОО ""ТАКЕДА КАЗАХСТАН"" по Договору №09-02-83 от 06.12.22г. за лекарственное средство -
 Цинрайз","2025-03-03T16:26:40.834299Z"
16,"1","2025-03-03T16:30:43.802060Z",14,"[{""start"":136,""end"":171,""text"":""Договор №09-02-55\/6 от 28.10.2022г."",""labels"":[""MISC""]},{""start"":16,""end"":22,""text"":""гранты"",""labels"":[""PAYMENT_TYPE""]},{""start"":46,""end"":57,""text"":""и стипендии"",""labels"":[""PAYMENT_TYPE""]},{""start"":58,""end"":67,""text"":""студентам"",""labels"":[""PURPOSE""]},{""start"":0,""end"":15,""text"":""Образовательные"",""labels"":[""PURPOSE""]},{""start"":23,""end"":45,""text"":""ОФ «Қазақстан халқына»"",""labels"":[""ORG""]},{""start"":68,""end"":135,""text"":""Учреждение высшего образования \""Евразийский гуманитарный институт\"","",""labels"":[""ORG""]}]",241.442,"Образовательные гранты ОФ «Қазақстан халқына» и стипендии студентам Учреждение высшего образования ""Евразийский гуманитарный институт"", Договор №09-02-55/6 от 28.10.2022г.","2025-03-03T16:30:43.802077Z"
17,"1","2025-03-03T16:31:36.586366Z",15,"[{""start"":16,""end"":22,""text"":""гранты"",""labels"":[""PAYMENT_TYPE""]},{""start"":110,""end"":145,""text"":""Договор\\n№09-02-55\/51 от 28.10.22г."",""labels"":[""MISC""]},{""start"":0,""end"":15,""text"":""Образовательные"",""labels"":[""PURPOSE""]},{""start"":58,""end"":67,""text"":""студентам"",""labels"":[""PURPOSE""]},{""start"":68,""end"":109,""text"":""УО \""Каспийский общественный Университет\"","",""labels"":[""ORG""]},{""start"":23,""end"":45,""text"":""ОФ «Қазақстан халқына»"",""labels"":[""ORG""]},{""start"":46,""end"":57,""text"":""и стипендии"",""labels"":[""PAYMENT_TYPE""]}]",47.111,"Образовательные гранты ОФ «Қазақстан халқына» и стипендии студентам УО ""Каспийский общественный Университет"", Договор
 №09-02-55/51 от 28.10.22г.","2025-03-03T16:31:36.586388Z"
18,"1","2025-03-03T16:32:13.592780Z",16,"[{""start"":16,""end"":22,""text"":""гранты"",""labels"":[""PAYMENT_TYPE""]},{""start"":46,""end"":57,""text"":""и стипендии"",""labels"":[""PAYMENT_TYPE""]},{""start"":0,""end"":15,""text"":""Образовательные"",""labels"":[""PURPOSE""]},{""start"":59,""end"":68,""text"":""студентам"",""labels"":[""PURPOSE""]},{""start"":23,""end"":45,""text"":""ОФ «Қазақстан халқына»"",""labels"":[""ORG""]},{""start"":69,""end"":96,""text"":""НАО \""ВКТУ\"" им. Д.Серикбаева"",""labels"":[""ORG""]}]",35.522,"Образовательные гранты ОФ «Қазақстан халқына» и стипендии
 студентам НАО ""ВКТУ"" им. Д.Серикбаева","2025-03-03T16:32:13.592793Z"
19,"1","2025-03-03T16:33:08.023848Z",17,"[{""start"":16,""end"":22,""text"":""гранты"",""labels"":[""PAYMENT_TYPE""]},{""start"":46,""end"":57,""text"":""и стипендии"",""labels"":[""PAYMENT_TYPE""]},{""start"":0,""end"":15,""text"":""Образовательные"",""labels"":[""PURPOSE""]},{""start"":58,""end"":67,""text"":""студентам"",""labels"":[""PURPOSE""]},{""start"":68,""end"":123,""text"":""НАО \""Северо-Казахстанский университет им. М. Козыбаева\"""",""labels"":[""ORG""]},{""start"":23,""end"":45,""text"":""ОФ «Қазақстан халқына»"",""labels"":[""ORG""]},{""start"":125,""end"":160,""text"":""Договор №09-02-34\/67 от 25.08.2022г"",""labels"":[""MISC""]}]",53.062,"Образовательные гранты ОФ «Қазақстан халқына» и стипендии студентам НАО ""Северо-Казахстанский университет им. М. Козыбаева"", Договор №09-02-34/67 от 25.08.2022г","2025-03-03T16:33:08.023863Z"
20,"1","2025-03-03T16:33:40.332172Z",18,"[{""start"":97,""end"":134,""text"":""Договор №09-02-55\/42\\nот 28.10.2022г."",""labels"":[""MISC""]},{""start"":16,""end"":22,""text"":""гранты"",""labels"":[""PAYMENT_TYPE""]},{""start"":46,""end"":57,""text"":""и стипендии"",""labels"":[""PAYMENT_TYPE""]},{""start"":0,""end"":15,""text"":""Образовательные"",""labels"":[""PURPOSE""]},{""start"":58,""end"":67,""text"":""студентам"",""labels"":[""PURPOSE""]},{""start"":69,""end"":96,""text"":""АО \""ВКТУ\"" им. Д.Серикбаева,"",""labels"":[""ORG""]},{""start"":23,""end"":45,""text"":""ОФ «Қазақстан халқына»"",""labels"":[""ORG""]}]",26.808,"Образовательные гранты ОФ «Қазақстан халқына» и стипендии студентам НАО ""ВКТУ"" им. Д.Серикбаева, Договор №09-02-55/42
 от 28.10.2022г.","2025-03-03T16:33:40.332190Z"
21,"1","2025-03-03T16:34:09.852489Z",19,"[{""start"":126,""end"":161,""text"":""Договор №09-02-34\/65 от 25.08.2022г"",""labels"":[""MISC""]},{""start"":16,""end"":22,""text"":""гранты"",""labels"":[""PAYMENT_TYPE""]},{""start"":46,""end"":57,""text"":""и стипендии"",""labels"":[""PAYMENT_TYPE""]},{""start"":0,""end"":15,""text"":""Образовательные"",""labels"":[""PURPOSE""]},{""start"":58,""end"":67,""text"":""студентам"",""labels"":[""PURPOSE""]},{""start"":23,""end"":45,""text"":""ОФ «Қазақстан халқына»"",""labels"":[""ORG""]},{""start"":68,""end"":124,""text"":""АО \""Международный университет информационных технологий\"""",""labels"":[""ORG""]}]",28.159,"Образовательные гранты ОФ «Қазақстан халқына» и стипендии студентам АО ""Международный университет информационных технологий"", Договор №09-02-34/65 от 25.08.2022г","2025-03-03T16:34:09.852504Z"
22,"1","2025-03-03T17:05:07.313551Z",20,"[{""start"":16,""end"":22,""text"":""гранты"",""labels"":[""PAYMENT_TYPE""]},{""start"":0,""end"":15,""text"":""Образовательные"",""labels"":[""PURPOSE""]},{""start"":58,""end"":67,""text"":""студентам"",""labels"":[""PURPOSE""]},{""start"":46,""end"":57,""text"":""и стипендии"",""labels"":[""PAYMENT_TYPE""]},{""start"":23,""end"":45,""text"":""ОФ «Қазақстан халқына»"",""labels"":[""ORG""]},{""start"":68,""end"":107,""text"":""Частное учреждение \""Академия \""Bolashaq\"""",""labels"":[""ORG""]}]",40.93,"Образовательные гранты ОФ «Қазақстан халқына» и стипендии студентам Частное учреждение ""Академия ""Bolashaq""","2025-03-03T17:05:07.313567Z"
23,"1","2025-03-03T17:05:56.554801Z",21,"[{""start"":0,""end"":15,""text"":""Образовательные"",""labels"":[""PURPOSE""]},{""start"":58,""end"":67,""text"":""студентам"",""labels"":[""PURPOSE""]},{""start"":16,""end"":22,""text"":""гранты"",""labels"":[""PAYMENT_TYPE""]},{""start"":46,""end"":57,""text"":""и стипендии"",""labels"":[""PAYMENT_TYPE""]},{""start"":23,""end"":45,""text"":""ОФ «Қазақстан халқына»"",""labels"":[""ORG""]},{""start"":68,""end"":102,""text"":""УО \""Алматы Менеджмент Университет\"""",""labels"":[""ORG""]},{""start"":104,""end"":143,""text"":""по Договор\\n№09-02-55\/1 от 28.10.2022г."",""labels"":[""MISC""]}]",34.441,"Образовательные гранты ОФ «Қазақстан халқына» и стипендии студентам УО ""Алматы Менеджмент Университет"", по Договор
 №09-02-55/1 от 28.10.2022г.","2025-03-03T17:05:56.554817Z"
24,"1","2025-03-03T17:06:19.962208Z",22,"[{""start"":91,""end"":125,""text"":""Договор №09-02-162 от 28.12.2022г."",""labels"":[""MISC""]},{""start"":0,""end"":6,""text"":""Оплата"",""labels"":[""PAYMENT_TYPE""]},{""start"":42,""end"":89,""text"":""за оборудование\\nдля оснащения специальных школ"",""labels"":[""PURPOSE""]},{""start"":7,""end"":41,""text"":""ИП Прохоренко Сергей Александрович"",""labels"":[""ORG""]}]",22.223,"Оплата ИП Прохоренко Сергей Александрович за оборудование
 для оснащения специальных школ, Договор №09-02-162 от 28.12.2022г.","2025-03-03T17:06:19.962228Z"
25,"1","2025-03-03T17:06:51.853170Z",23,"[{""start"":78,""end"":178,""text"":""Договор №09-02-193, 145, 151, 194, 193, 157,\\n191, 154, 190, 184, 192, 150, 185, 155 от 28.12.2022г."",""labels"":[""MISC""]},{""start"":0,""end"":6,""text"":""Оплата"",""labels"":[""PAYMENT_TYPE""]},{""start"":7,""end"":29,""text"":""ТОО \""Базисный Магазин\"""",""labels"":[""ORG""]},{""start"":30,""end"":77,""text"":""за оборудование для оснащения специальных школ,"",""labels"":[""PURPOSE""]}]",30.798,"Оплата ТОО ""Базисный Магазин"" за оборудование для оснащения специальных школ, Договор №09-02-193, 145, 151, 194, 193, 157,
 191, 154, 190, 184, 192, 150, 185, 155 от 28.12.2022г.","2025-03-03T17:06:51.853184Z"
26,"1","2025-03-03T17:07:12.206184Z",24,"[{""start"":71,""end"":111,""text"":""Договору №09-02-158, 156 от 28.12.2022г."",""labels"":[""MISC""]},{""start"":0,""end"":6,""text"":""Оплата"",""labels"":[""PAYMENT_TYPE""]},{""start"":23,""end"":70,""text"":""за оборудование для оснащения специальных школ,"",""labels"":[""PURPOSE""]},{""start"":7,""end"":22,""text"":""ТОО \""МК- ФАРМА\"""",""labels"":[""ORG""]}]",19.207,"Оплата ТОО ""МК- ФАРМА"" за оборудование для оснащения специальных школ, Договору №09-02-158, 156 от 28.12.2022г.","2025-03-03T17:07:12.206195Z"
27,"1","2025-03-03T17:09:35.665841Z",25,"[{""start"":98,""end"":136,""text"":""Договор №09-02-\\n34\/13 от 25.08.2022г."",""labels"":[""MISC""]},{""start"":16,""end"":22,""text"":""гранты"",""labels"":[""PAYMENT_TYPE""]},{""start"":46,""end"":57,""text"":""и стипендии"",""labels"":[""PAYMENT_TYPE""]},{""start"":58,""end"":67,""text"":""студентам"",""labels"":[""PURPOSE""]},{""start"":23,""end"":45,""text"":""ОФ «Қазақстан халқына»"",""labels"":[""ORG""]},{""start"":0,""end"":15,""text"":""Образовательные"",""labels"":[""PURPOSE""]},{""start"":68,""end"":97,""text"":""Учреждение \""ESIL UNIVERSITY\"","",""labels"":[""ORG""]}]",32.269,"Образовательные гранты ОФ «Қазақстан халқына» и стипендии студентам Учреждение ""ESIL UNIVERSITY"", Договор №09-02-
 34/13 от 25.08.2022г.","2025-03-03T17:09:35.665855Z"
28,"1","2025-03-03T17:10:09.203349Z",26,"[{""start"":124,""end"":157,""text"":""Договор №09-02-64\/5 от 10.11.22г."",""labels"":[""MISC""]},{""start"":16,""end"":22,""text"":""гранты"",""labels"":[""PAYMENT_TYPE""]},{""start"":46,""end"":57,""text"":""и стипендии"",""labels"":[""PAYMENT_TYPE""]},{""start"":58,""end"":67,""text"":""студентам"",""labels"":[""PURPOSE""]},{""start"":0,""end"":15,""text"":""Образовательные"",""labels"":[""PURPOSE""]},{""start"":23,""end"":45,""text"":""ОФ «Қазақстан халқына»"",""labels"":[""ORG""]},{""start"":68,""end"":85,""text"":""НАО \""КАЗНАЦЖЕНПУ\"""",""labels"":[""ORG""]},{""start"":87,""end"":122,""text"":""Договор №09-02-34\/25 от\\n25.08.22г."",""labels"":[""MISC""]}]",130.817,"Образовательные гранты ОФ «Қазақстан халқына» и стипендии студентам НАО ""КАЗНАЦЖЕНПУ"", Договор №09-02-34/25 от
 25.08.22г., Договор №09-02-64/5 от 10.11.22г.","2025-03-03T17:11:48.158551Z"
29,"1","2025-03-03T17:12:24.208837Z",27,"[{""start"":16,""end"":22,""text"":""гранты"",""labels"":[""PAYMENT_TYPE""]},{""start"":46,""end"":57,""text"":""и стипендии"",""labels"":[""PAYMENT_TYPE""]},{""start"":0,""end"":15,""text"":""Образовательные"",""labels"":[""PURPOSE""]},{""start"":58,""end"":67,""text"":""студентам"",""labels"":[""PURPOSE""]},{""start"":68,""end"":111,""text"":""АО \""Университет КАЗГЮУ им. М.С. Нарикбаева»"",""labels"":[""ORG""]},{""start"":23,""end"":45,""text"":""ОФ «Қазақстан халқына»"",""labels"":[""ORG""]}]",35.002,"Образовательные гранты ОФ «Қазақстан халқына» и стипендии студентам АО ""Университет КАЗГЮУ им. М.С. Нарикбаева»","2025-03-03T17:12:24.208863Z"
30,"1","2025-03-03T17:15:49.455396Z",28,"[{""start"":109,""end"":144,""text"":""Договор\\n№09-02-55\/73 от 28.10.22г."",""labels"":[""MISC""]},{""start"":16,""end"":22,""text"":""гранты"",""labels"":[""PAYMENT_TYPE""]},{""start"":46,""end"":57,""text"":""и стипендии"",""labels"":[""PAYMENT_TYPE""]},{""start"":58,""end"":67,""text"":""студентам"",""labels"":[""PURPOSE""]},{""start"":0,""end"":15,""text"":""Образовательные"",""labels"":[""PURPOSE""]},{""start"":23,""end"":45,""text"":""ОФ «Қазақстан халқына»"",""labels"":[""ORG""]},{""start"":68,""end"":107,""text"":""Частное учреждение \""Академия \""Bolashaq\"""",""labels"":[""ORG""]}]",204.181,"Образовательные гранты ОФ «Қазақстан халқына» и стипендии студентам Частное учреждение ""Академия ""Bolashaq"", Договор
 №09-02-55/73 от 28.10.22г.","2025-03-03T17:15:49.455425Z"
31,"1","2025-03-03T17:16:19.026696Z",29,"[{""start"":127,""end"":160,""text"":""оговор №09-02-55\/38 от 28.10.22г."",""labels"":[""MISC""]},{""start"":16,""end"":22,""text"":""гранты"",""labels"":[""PAYMENT_TYPE""]},{""start"":46,""end"":57,""text"":""и стипендии"",""labels"":[""PAYMENT_TYPE""]},{""start"":0,""end"":15,""text"":""Образовательные"",""labels"":[""PURPOSE""]},{""start"":23,""end"":45,""text"":""ОФ «Қазақстан халқына»"",""labels"":[""ORG""]},{""start"":68,""end"":124,""text"":""АО \""Международный университет информационных технологий\"""",""labels"":[""ORG""]},{""start"":58,""end"":67,""text"":""студентам"",""labels"":[""PURPOSE""]}]",28.611,"Образовательные гранты ОФ «Қазақстан халқына» и стипендии студентам АО ""Международный университет информационных технологий"", Договор №09-02-55/38 от 28.10.22г.","2025-03-03T17:16:19.026712Z"
32,"1","2025-03-03T17:17:06.880036Z",30,"[{""start"":16,""end"":22,""text"":""гранты"",""labels"":[""PAYMENT_TYPE""]},{""start"":46,""end"":57,""text"":""и стипендии"",""labels"":[""PAYMENT_TYPE""]},{""start"":58,""end"":67,""text"":""студентам"",""labels"":[""PURPOSE""]},{""start"":0,""end"":15,""text"":""Образовательные"",""labels"":[""PURPOSE""]},{""start"":23,""end"":45,""text"":""ОФ «Қазақстан халқына»"",""labels"":[""ORG""]},{""start"":104,""end"":143,""text"":""по Договор\\n№09-02-55\/1 от 28.10.2022г."",""labels"":[""MISC""]},{""start"":68,""end"":102,""text"":""УО \""Алматы Менеджмент Университет\"""",""labels"":[""ORG""]}]",61.248999999999995,"Образовательные гранты ОФ «Қазақстан халқына» и стипендии студентам УО ""Алматы Менеджмент Университет"", по Договор
 №09-02-55/1 от 28.10.2022г.","2025-03-03T17:17:22.873340Z"
33,"1","2025-03-03T17:17:46.967615Z",31,"[{""start"":73,""end"":142,""text"":""Договору №09-02-171, 169, 170, 172, 175, 174,\\n178, 179 от 28.12.2022"",""labels"":[""MISC""]},{""start"":0,""end"":6,""text"":""Оплата"",""labels"":[""PAYMENT_TYPE""]},{""start"":25,""end"":71,""text"":""за оборудование для оснащения специальных школ"",""labels"":[""PURPOSE""]},{""start"":7,""end"":24,""text"":""ООО \""Исток Аудио\"""",""labels"":[""ORG""]}]",18.279,"Оплата ООО ""Исток Аудио"" за оборудование для оснащения специальных школ, Договору №09-02-171, 169, 170, 172, 175, 174,
 178, 179 от 28.12.2022","2025-03-03T17:17:46.967633Z"
34,"1","2025-03-03T17:18:15.532683Z",32,"[{""start"":118,""end"":152,""text"":""Договор №09-02-34\/73 от 25.08.22г."",""labels"":[""MISC""]},{""start"":16,""end"":22,""text"":""гранты"",""labels"":[""PAYMENT_TYPE""]},{""start"":46,""end"":57,""text"":""и стипендии"",""labels"":[""PAYMENT_TYPE""]},{""start"":58,""end"":67,""text"":""студентам"",""labels"":[""PURPOSE""]},{""start"":0,""end"":15,""text"":""Образовательные"",""labels"":[""PURPOSE""]},{""start"":23,""end"":45,""text"":""ОФ «Қазақстан халқына»"",""labels"":[""ORG""]},{""start"":71,""end"":116,""text"":""\""Казахстанско-Немецкий Университет в Алматы\"","",""labels"":[""ORG""]}]",27.577,"Образовательные гранты ОФ «Қазақстан халқына» и стипендии студентам УО ""Казахстанско-Немецкий Университет в Алматы"",
 Договор №09-02-34/73 от 25.08.22г.","2025-03-03T17:18:15.532696Z"
35,"1","2025-03-03T17:21:06.343587Z",33,"[{""start"":123,""end"":157,""text"":""Договор №09-02-34\/37 от 25.08.22г."",""labels"":[""MISC""]},{""start"":16,""end"":22,""text"":""гранты"",""labels"":[""PAYMENT_TYPE""]},{""start"":46,""end"":57,""text"":""и стипендии"",""labels"":[""PAYMENT_TYPE""]},{""start"":0,""end"":15,""text"":""Образовательные"",""labels"":[""PURPOSE""]},{""start"":58,""end"":67,""text"":""студентам"",""labels"":[""PURPOSE""]},{""start"":68,""end"":121,""text"":""ТОО \""Казахстанско-Американский Свободный Университет\"""",""labels"":[""ORG""]},{""start"":23,""end"":45,""text"":""ОФ «Қазақстан халқына»"",""labels"":[""ORG""]}]",169.777,"Образовательные гранты ОФ «Қазақстан халқына» и стипендии студентам ТОО ""Казахстанско-Американский Свободный Университет"", Договор №09-02-34/37 от 25.08.22г.","2025-03-03T17:21:06.343600Z"
